PPG_mean;PPG_std;EDA_mean;EDA_std;Theta;Alpha;BetaL;BetaH;Stage
0.007274313683010264;0.357272981749683;-0.010339616692692753;0.1260008554738163;0.027610429939680835;0.05298124775721479;0.05112111872919066;0.028895055334359335;Background
0.0035290139140615835;0.3634538756468204;0.026446151732813616;0.2674658522063994;0.04169936688984166;0.08513576879471207;0.09941429088832424;0.0658350479150786;Cognitive
0.0009432180810455913;0.3627070306889044;-0.013586054242818807;0.2617554343526293;0.048893114709991435;0.10666104748033942;0.12479805243520616;0.07725747692984533;Emotional
0.0020301828849128042;0.3646490450025349;-0.06665810709550316;0.42672866381523333;0.0281113305259374;0.05820632379439223;0.06324625852271035;0.040134069353175504;Afterwards
-0.0014844136919315411;0.1976190386037931;-0.005857233926473098;0.2991661047415441;0.03015415029335494;0.05772469051655224;0.05312720340433391;0.028730494764276613;Background
0.010412898091314049;0.1699623391053075;-0.057636261629763964;0.4043425378876045;0.04093762640108948;0.09743170117527893;0.10890723303313507;0.06726943449210067;Cognitive
0.005076527131782945;0.3378824170107013;-0.0011597360680199729;0.37886224576126243;0.05494170563887985;0.11281682341525134;0.11528464625515834;0.06892672513010618;Emotional
0.008208900790614638;0.2396817426455134;-0.031097241377160287;0.20266827926155487;0.031097209089536205;0.058051833204083955;0.04932810939941899;0.025270413787443144;Afterwards
0.0009978134571854195;0.34140068510053967;0.018406826488806552;0.3024220347836941;0.02927802916072199;0.0666133907064455;0.06781959963454263;0.040923169205815575;Background
-0.0036451610335689905;0.34564094039019266;0.038288376912400814;0.37827684359963104;0.038508004991426883;0.09631155243786618;0.10679792585938476;0.07071633326814772;Cognitive
0.011283689576762805;0.2658186423804514;0.01393107510532863;0.41882809217195127;0.03642152725890277;0.07841380717550833;0.07961909995081531;0.04640309987699529;Emotional
-0.002907820606743684;0.29944165273399553;-0.0012160452943397804;0.30699178219243634;0.032722877334226665;0.0784039890205696;0.08162201822454736;0.04942557589408353;Afterwards
0.0031067996818672423;0.39076464568068464;0.08826022883431286;0.28689099059348006;0.023408853505967147;0.059288306031673274;0.0497966621590311;0.024557859042911554;Background
-0.0036979883354192745;0.4066749407267733;0.0676386392091303;0.3887362913302467;0.05061369838792825;0.12137966481036828;0.1412317505499983;0.08483509645060805;Cognitive
-0.0009355159550945059;0.35066424688536796;-0.04234947639895638;0.4134040582760635;0.03822110680277549;0.0902940213317916;0.09427881906368184;0.05115632868655634;Emotional
-0.00022448690410656742;0.4212806105894172;0.052284549414864545;0.18924433208215588;0.021801061538989825;0.064557008639866;0.05564528197245605;0.028934481025396815;Afterwards
0.004801677592726541;0.37101863083200415;0.1620387035124031;0.3594582449427023;0.02702853247619617;0.059146904499826514;0.0584517124322994;0.03313398140886816;Background
0.008671439635763532;0.44835947794443637;-0.04889207156265556;0.4552167599624233;0.04125310794921596;0.10867516583081155;0.1401027699923672;0.09079663248833815;Cognitive
-0.004495625779775576;0.38276058859747447;0.06945901536929754;0.3948296503259024;0.03630487927657715;0.07162382532496873;0.07125275276860503;0.0401547911434959;Emotional
0.0004344997607426544;0.3838099091186987;-0.0438959811223415;0.30687728261073877;0.033294443571891104;0.08013360685185442;0.07203932434542049;0.03660756963926407;Afterwards
